"WORD_ID";"SPELLING";"PART_OF_SPEECH_01_ID";"PART_OF_SPEECH_02_ID";"PART_OF_SPEECH_03_ID";"PART_OF_SPEECH_04_ID";"PART_OF_SPEECH_05_ID";"PRONUNCIATION"
"00237";"barneskole";"20";;;;;"ba:rnesko:le"
"00238";"barnetrygd";"12";"20";;;;"ba:rnetrygd"
"00239";"barnevakt";"12";"20";;;;"ba:rnevakt"
"00240";"barnslig";"02";;;;;"ba:rnsli"
"00241";"basehopper";"21";;;;;
"00242";"basere";;;;;;"ba'se:re"
"00243";"be";"39";;;;;"be:"
"00244";"be (om)";"39";;;;;"be: om"
"00245";"beboer";"21";;;;;"be'bo:er"
"00246";"bedra";"39";;;;;"be'dra:"
"00247";"bedre";"35";;;;;"be:dre"
"00248";"bedrift";"20";;;;;"be'drift"
"00249";"bedøve";"35";"37";;;;"be'dø:ve"
"00250";"bedøvelse";;;;;;"be'dø:velse"
"00251";"befale";"36";;;;;"be'fa:le"
"00252";"befinne";"39";;;;;"be'fin:e"
"00253";"befolkning";"12";"20";;;;"be'fålkniŋ"
"00254";"begeistret";;;;;;
"00255";"beger";"29";;;;;"be:ger"
"00256";"begge";"31";;;;;"beg:e"
"00257";"begrave";;;;;;
"00258";"begrense";"35";;;;;"be'grense"
"00259";"begrep";"27";;;;;"begre:p"
"00260";"begripe";"39";;;;;"be'gri:pe"
"00261";"begrunne";"35";;;;;"be'grune"
"00262";"begynne";"39";;;;;"bejyn:e"
"00263";"begynnelse";"20";;;;;"bejynelse"
"00264";"begå";"39";;;;;"begå:"
"00265";"behag";;;;;;
"00266";"behagelig";"02";;;;;"beha:geli"
"00267";"behandle";"35";;;;;"behandle"
"00268";"behandling";"12";"20";;;;"be'handliŋ"
"00269";"beherske";"35";;;;;"beherske"
"00270";"beholde";"39";;;;;"behåle"
"00271";"behov";"25";;;;;"beho:v"
"00272";"behøve";"37";;;;;"behø:ve"
"00273";"bein";"25";;;;;"bæin"
"00274";"bein (2)";"01";;;;;"bæin"
"00275";"beite";"35";;;;;"bæite"
"00276";"beitemark";"12";"20";;;;"bæitemark"
"00277";"bekjent";"02";;;;;"bekjent"
"00278";"bekk";;;;;;
"00279";"beklage";"35";;;;;"bekla:ge"
"00280";"beklager";;;;;;
"00281";"bekrefte";"35";;;;;
"00282";"bekreftelse";"20";;;;;"be'kreftelse"
"00283";"bekymra";;;;;;
"00284";"bekymre";"35";;;;;"bekjymre"
"00285";"Belgia";"28";;;;;"belgia"
"00286";"beliggenhet";;;;;;
"00287";"belte";"26";;;;;"belte"
"00288";"beløp";"25";;;;;"belø:p"
"00289";"ben";"25";;;;;"be:n"
"00290";"ben (2)";"01";;;;;"be:n"
"00291";"benk";"20";;;;;"beŋk"
"00292";"benke seg";;;;;;
"00293";"bensin";"20";;;;;"bensi:n"
"00294";"benytte";"35";;;;;"benyt:e"
"00295";"beredskap";;;;;;
"00296";"beretning";"12";"20";;;;"beretniŋ"
"00297";"berg";"25";;;;;"bærg"
"00298";"berge";;;;;;
"00299";"Bergen";;;;;;
"00300";"bergenser";"21";;;;;"bærgenser"
"00301";"berlin";"15";;;;;
"00302";"berømt";"02";;;;;"berømt"
"00303";"berøre";"36";;;;;"berø:re"
"00304";"beseire";"35";;;;;"be'sæire"
"00305";"beskjed";"20";;;;;"besje:"
"00306";"beskjeden";"05";;;;;"besje:den"
"00307";"beskrive";"39";;;;;"beskri:ve"
"00308";"beskytte";"35";;;;;"besjyt:e"
"00309";"beslekta";"03";;;;;"be'slekta"
"00310";"beslektet";"04";;;;;"be'slektet"
"00311";"beslutning";;;;;;
"00312";"beslutte";"35";;;;;"beslut:e"
"00313";"besluttsom";;;;;;
"00314";"best";"01";;;;;"best"
"00315";"bestandig";"02";;;;;"bestandi"
"00316";"bestandig (2)";"07";;;;;"bestandi"
"00317";"bestefar";"23";;;;;"bestefa:r"
"00318";"bestemme";"39";;;;;"bestem:e"
"00319";"bestemor";"13";"23";;;;"bestemo:r"
"00320";"bestemt";"02";;;;;"be'stemt"
"00321";"bestemt form";;;;;;"be'stemt fårm"
"00322";"bestille";"39";;;;;"bestil:e"
"00323";"bestå";"39";;;;;"bestå:"
"00324";"bestå av";;;;;;
"00325";"besvare";"36";;;;;"be'sva:re"
"00326";"besøk";"25";;;;;"be'sø:k"
"00327";"besøke";"36";;;;;"besø:ke"
"00328";"betale";"36";;;;;"beta:le"
"00329";"betegne";"35";;;;;"be'tæine"
"00330";"betingelse";"20";;;;;"betiŋelse"
"00331";"betrakte";"35";;;;;"betrakte"
"00332";"bety";"39";"38";;;;"bety:"
"00333";"betydelig";"02";;;;;"bety:deli"
"00334";"betydelig (2)";"07";;;;;"bety:deli"
"00335";"betydning";"12";"20";;;;"bety:dniŋ"
"00336";"beundre";"35";;;;;"beundre"
"00337";"bevare";"36";;;;;"beva:re"
"00338";"bevege";"35";"37";;;;"beve:ge"
"00339";"bevege seg";;;;;;
"00340";"bevegelse";"20";;;;;"beve:gelse"
"00341";"bevilge";"35";;;;;"bevilge"
"00342";"bevis";"27";;;;;"bevi:s"
"00343";"bevise";;;;;;
"00344";"bevisst";"02";;;;;"bevis:t"
"00345";"bevisst (2)";"07";;;;;"bevis:t"
"00346";"bh";"23";;;;;"be:hå"
"00347";"bibliotek";"25";;;;;"bibl(i)ote:k"
"00348";"bidra";"39";;;;;"bidra:"
"00349";"bidrag";"25";;;;;"bi:dra:g"
"00350";"bikke";;;;;;
"00351";"bil";"20";;;;;"bi:l"
"00352";"bilde";"26";;;;;"bilde"
"00353";"bile";;;;;;
"00354";"bilist";"20";;;;;"bi'list"
"00355";"bille";;;;;;
"00356";"billett";"20";;;;;"bilet:"
"00357";"billettsalg";;;;;;
"00358";"billig";"02";;;;;"bil:i"
"00359";"bilmekaniker";;;;;;
"00360";"binde";"39";;;;;"bin:e"
"00361";"bindeord";;;;;;
"00362";"bite";"39";;;;;"bi:te"
"00363";"bivåne";;;;;;
"00364";"bjeffe";;;;;;
"00365";"bjelle";"12";"20";;;;"bjel:e"
"00366";"bjørk";"12";"20";;;;"bjørk"
"00367";"bjørn";"20";;;;;"bjø:rn"
"00368";"bl.a";"14";;;;;"blant anet"
"00369";"bla";"38";;;;;"bla:"
"00370";"blad";"27";;;;;"bla:d"
"00371";"blande";"35";;;;;"blan:e"
"00372";"blanding";;;;;;
"00373";"blank";"01";;;;;"blank"
"00374";"blant";"30";;;;;"blant"
"00375";"blant annet";;;;;;
"00376";"blass";;;;;;
"00377";"blaut";"01";;;;;"blaut"
"00378";"bleie";"12";"20";;;;"blæie"
"00379";"bleik";"01";;;;;"bleik"
"00380";"blek";"01";;;;;"ble:k"
"00381";"bleke";"35";"36";;;;"bl:eke"
"00382";"blekk";"25";;;;;"blek:"
"00383";"bli";"39";;;;;"bli:"
"00384";"bli med";"39";;;;;"bli: me:"
"00385";"blid";"01";;;;;"bli:"
"00386";"blikk";"25";;;;;"blik:"
"00387";"blind";;;;;;
"00388";"blinke";"35";;;;;"bliŋke"
"00389";"blod";"25";;;;;"blo:"
"00390";"blodprøve";;;;;;
"00391";"blokk";"12";"20";;;;"blåk"
"00392";"blomkål";"20";;;;;"blåmkå:l"
"00393";"blomst";"20";;;;;"blåmst"
"00394";"blomstre";;;;;;
"00395";"blunke";;;;;;
"00396";"bluse";"12";"20";;;;"blu:se"
"00397";"blyant";"20";;;;;"bly:ant"
"00398";"bløffe";"35";;;;;
"00399";"bløt";"01";;;;;"blø:t"
"00400";"blå";"08";;;;;"blå:"
"00401";"blåse";"36";;;;;"blå:se"
"00402";"bo";"38";;;;;"bo:"
"00403";"bod";;;;;;
"00404";"bodø";"15";;;;;
"00405";"bok";"13";"23";;;;"bo:k"
"00406";"bokhylle";;;;;;
"00407";"bokmål";;;;;;
"00408";"boks";"20";;;;;"båks"
"00409";"bokse";;;;;;
"00410";"bokstav";"20";;;;;"boksta:v"
"00411";"bolig";"20";;;;;"bo:li"
"00412";"boligkjøper";;;;;;
"00413";"boligmarked";;;;;;
"00414";"boligpris";;;;;;
"00415";"boligtype";;;;;;
"00416";"bolle";"20";;;;;"bål:e"
"00417";"bolte";;;;;;
"00418";"bomull";"12";"20";;;;"bomul"
"00419";"bonde";"23";;;;;"bon:e"
"00420";"bord";"25";;;;;"bo:r"
"00421";"bore";;;;;;
"00422";"borettslag";;;;;;
"00423";"borger";"21";;;;;"bårger"
"00424";"bort";"07";;;;;"bort"
"00425";"borte";"07";;;;;"borte"
"00426";"bortimot";"07";;;;;"bortimo:t"
"00427";"bortse";"39";;;;;"bortse:"
"00428";"bot";"13";"23";;;;"bo:t"
"00429";"bra";"03";;;;;"bra:"
"00430";"brakke";;;;;;
"00431";"brann";"20";;;;;"bran"
"00432";"bransje";"20";;;;;"braŋʃe"
"00433";"brasil";"15";;;;;"bra'si:l"
"00434";"bratt";"02";;;;;"brat"
"00435";"bred";"01";;;;;"bræi"
"00436";"bredde";"20";;;;;"bred:e"
"00437";"brei";"01";;;;;"bre"
"00438";"brekke";"39";;;;;"brek:e"
"00439";"bremse";"12";"20";;;;"bremse"
"00440";"bremse (2)";"35";;;;;"bremse"
"00441";"brenne";"39";;;;;"bren:e"
"00442";"brennevin";;;;;;
"00443";"brett";"20";;;;;"bret"
"00444";"brette";;;;;;
"00445";"brev";"27";;;;;"bre:v"
"00446";"brille";"12";"20";;;;"bril:e"
"00447";"bringe";"39";;;;;"briŋe"
"00448";"briste";"35";;;;;"briste"
"00449";"britisk";"02";;;;;"bri:tisk"
"00450";"bro";"12";"20";;;;"bro:"
"00451";"bror";"23";;;;;"bro:r"
"00452";"brosjyre";;;;;;
"00453";"brudd";;;;;;
"00454";"bruk";"20";"25";;;;"bru:k"
"00455";"bruke";"39";;;;;"bru:ke"
"00456";"brukernavn";;;;;;
"00457";"brukt";"02";;;;;"brukt"
"00458";"brun";"01";;;;;"bru:n"
"00459";"brunost";"20";;;;;"bru:nost"
"00460";"brus";"23";;;;;"bru:s"
"00461";"bry";"39";;;;;"bry:"
"00462";"brygge";"12";"20";;;;"bryg:e"
"00463";"brygge (2)";"35";;;;;"bryg:e"
"00464";"brygge på noe";;;;;;
"00465";"bryllup";"27";;;;;"brylup"
"00466";"bryllupsdag";"20";;;;;"brylupsda:g"
"00467";"bryne";"36";;;;;
"00468";"brysk";;;;;;
"00469";"bryst";"27";;;;;"bryst"
"00470";"bryte";"39";;;;;"bry:te"
"00471";"bryte (ned)";"39";;;;;
"00472";"bryte ut";;;;;;
"00473";"bryter";"21";;;;;
"00474";"brød";"25";;;;;"brø:"
"00475";"brødhylle";;;;;;
"00476";"brødskive";;;;;;
"00477";"brå";"08";;;;;"brå:"
"00478";"bråk";"25";;;;;"brå:k"
"00479";"bråke";;;;;;
"00480";"bråkete";;;;;;
"00481";"bud";"25";;;;;"bu:d"
"00482";"buddhist";;;;;;
"00483";"budsjett";"27";;;;;"bud'ʃet"
"00484";"bukke";"35";;;;;"boke"
"00485";"bukse";"12";"20";;;;"bokse"
"00486";"bukt";"12";"20";;;;"bokt"
"00487";"buljong";;;;;;
"00488";"bunad";"20";;;;;"bu:nad"
"00489";"bunn";"20";;;;;"bun"
"00490";"bur";;;;;;
"00491";"burde";"39";;;;;"burde"
"00492";"bursdag";"20";;;;;"bursda:g"
"00493";"buss";"20";;;;;"bus"
"00494";"busse";;;;;;
"00495";"bussforbindelse";;;;;;
"00496";"bussjåfør";;;;;;
"00497";"bussterminal";;;;;;
"00498";"busstopp";;;;;;
"00499";"butikk";"20";;;;;"butik"
"00500";"by";"39";;;;;"by:"
"00501";"by (2)";"20";;;;;"by:"
"00502";"bydel";"20";;;;;"by:del"
"00503";"bygd";"12";"20";;;;"bygd"
"00504";"bygg";;;;;;
"00505";"bygge";"39";;;;;"byg:e"
"00506";"byggebransje";;;;;;
"00507";"byggeplass";;;;;;
"00508";"bygging";;;;;;
"00509";"bygning";"12";"20";;;;"bygniŋ"
"00510";"bykjerne";;;;;;
"00511";"byrett";;;;;;
"00512";"byrå";"27";;;;;"byrå:"
"00513";"bystyre";;;;;;
"00514";"bytte";"35";;;;;"byt:e"
"00515";"bære";"39";;;;;"bæ:re"
"00516";"bærepose";;;;;;
"00517";"bæsj";"20";;;;;"bæʃ"
"00518";"bæsje";"35";;;;;"bæʃe"
"00519";"bølge";"12";"20";;;;"bølge"
"00520";"bønn";"12";"20";;;;"bøn"
"00521";"bør";;;;;;
"00522";"børs";;;;;;"bø:ʃ"
"00523";"børste";"20";;;;;"bøʃte"
"00524";"bøtte";"12";"20";;;;"bøt:e"
"00525";"bøye";"37";;;;;"bøye"
"00526";"bøye seg";"37";;;;;"bøye"
"00527";"både";"17";;;;;"bå:de"
"00528";"bånd";"25";;;;;"bån"
"00529";"båt";"20";;;;;"bå:t"
"00530";"ca";"14";;;;;"sirka"
"00531";"ca.";"14";;;;;"sirka"
"00532";"canada";"15";;;;;
"00533";"CD";"23";;;;;"se:de"
"00534";"celsius";"34";;;;;"selsius"
"00535";"centimeter";"23";;;;;"sentime:ter"
"00536";"cirka";"07";;;;;"sirka"
"00537";"co";;;;;;
"00538";"cv";;;;;;
"00539";"da";"07";;;;;"da:"
"00540";"da (2)";"17";;;;;"da:"
"00541";"dag";"20";;;;;"da:g"
"00542";"dagbladet";"28";;;;;"da:gbla:de"
"00543";"daglig";"02";;;;;"da:gli"
"00544";"dagskort";;;;;;
"00545";"dagtid";;;;;;
"00546";"dal";"20";;;;;"da:l"
"00547";"dale";"36";;;;;"da:le"
"00548";"dam";"23";;;;;"dam"
"00549";"dame";"12";"20";;;;"da:me"
"00550";"dameavdeling";;;;;;
"00551";"damp";"20";;;;;"damp"
"00552";"dampet";;;;;;
"00553";"danke";"35";;;;;"daŋke"
"00554";"danmark";"15";;;;;"danmark"
"00555";"danne";"35";;;;;"dane"
"00556";"dans";"20";;;;;"dans"
"00557";"danse";"35";;;;;"danse"
"00558";"dansk";"02";;;;;"dansk"
"00559";"dansk (2)";"20";;;;;"dansk"
"00560";"danske";"20";;;;;"danske"
"00561";"data";;;;;;"da:ta"
"00562";"dataingeniør";;;;;;
"00563";"datamaskin";"20";;;;;"da:tamaʃi:n"
"00564";"datateknisk";;;;;;
"00565";"dato";"20";;;;;"da:to"
"00566";"datter";"13";"23";;;;"dat:er"
"00567";"de";"31";;;;;"di:"
"00568";"debatt";"20";;;;;"debat"
"00569";"debutalbum";;;;;;
"00570";"deg";"31";;;;;"dæi"
"00571";"deig";"20";;;;;"dæi"
"00572";"deilig";"02";;;;;"dæili"
"00573";"deise";;;;;;
"00574";"dekk";"25";;;;;"dek"
"00575";"dekke";"35";;;;;"dek:e"
"00576";"del";"20";;;;;"de:l"
"00577";"dele";"36";;;;;"de:le"
"00578";"dele ut";;;;;;
"00579";"delikat";;;;;;
"00580";"dels";"07";;;;;"de:ls"
"00581";"delta";"39";;;;;"de:lta"
"00582";"deltid";"12";"20";;;;"de:lti(d)"
"00583";"deltidsjobb";;;;;;
"00584";"delvis";"07";;;;;"de:lvi:s"
"00585";"dem";"31";;;;;"dem"
"00586";"demonstrere";"36";;;;;"demon'stre:re"
"00587";"den";"09";;;;;"den"
"00588";"den (2)";"31";;;;;"den"
"00589";"den (3)";"31";;;;;"den"
"00590";"denge";;;;;;
"00591";"denne";"31";;;;;"dene"
"00592";"departement";"27";;;;;"departemaŋ"
"00593";"depositum";;;;;;
"00594";"deppa";"03";;;;;"depa"
"00595";"deprimert";"02";;;;;"depri'me:rt"
"00596";"der";"07";;;;;"dær"
"00597";"dere";"31";;;;;"de:re"
"00598";"deres";"09";;;;;"de:res"
"00599";"deretter";"07";;;;;"dæreter"
"00600";"derfor";"07";;;;;"dærfår"
"00601";"derimot";"07";;;;;"dærimo:t"
"00602";"dermed";"07";;;;;"dærme:"
"00603";"dersom";"32";;;;;"dærsom"
"00604";"desember";"34";;;;;"de'sember"
"00605";"designer";;;;;;
"00606";"desperat";;;;;;
"00607";"dess";"07";;;;;"dess"
"00608";"dessert";;;;;;
"00609";"dessuten";"07";;;;;"de'su:tn"
"00610";"dessverre";"07";;;;;"de'svære"
"00611";"desto";"07";;;;;"desto"
"00612";"det";"31";;;;;"de:"
"00613";"detalj";"20";;;;;"de'talj"
"00614";"detaljert";;;;;;
"00615";"dette";"39";;;;;"dete"
"00616";"dette (2)";"31";;;;;"dete"
"00617";"di";"09";;;;;"di:"
"00618";"dialekt";;;;;;
"00619";"dialog";;;;;;"dia'lå:g"
"00620";"diftong";;;;;;
"00621";"diger";;;;;;
"00622";"digg";"02";;;;;"dig"
"00623";"digge";"35";;;;;"dige"
"00624";"dikt";"25";;;;;"dikt"
"00625";"dikte";"35";;;;;"dikte"
"00626";"dikte (opp)";"35";;;;;"dikte åp"
"00627";"din";"09";;;;;"din"
"00628";"dine";"09";;;;;"di:ne"
"00629";"diplomat";"20";;;;;"diplo'ma:t"
