"DEFINITION_ID";"WORD_ID";"DEFINITION";"EXAMPLE_SENTENCE_01_ID";"EXAMPLE_SENTENCE_02_ID";"EXAMPLE_SENTENCE_03_ID";"EXAMPLE_SENTENCE_04_ID";"EXAMPLE_SENTENCE_05_ID";"EXAMPLE_SENTENCE_06_ID";"EXAMPLE_SENTENCE_07_ID";"EXAMPLE_SENTENCE_08_ID";"EXAMPLE_SENTENCE_09_ID";"EXAMPLE_SENTENCE_10_ID";"EXAMPLE_SENTENCE_11_ID";"EXAMPLE_SENTENCE_12_ID";"EXAMPLE_SENTENCE_13_ID";"EXAMPLE_SENTENCE_14_ID";"EXAMPLE_SENTENCE_15_ID";"EXAMPLE_SENTENCE_16_ID";"EXAMPLE_SENTENCE_17_ID";"EXAMPLE_SENTENCE_18_ID";"EXAMPLE_SENTENCE_19_ID";"EXAMPLE_SENTENCE_20_ID";"EXAMPLE_SENTENCE_21_ID";"EXAMPLE_SENTENCE_22_ID";"EXAMPLE_SENTENCE_23_ID";"EXAMPLE_SENTENCE_24_ID";"EXAMPLE_SENTENCE_25_ID";"EXAMPLE_SENTENCE_26_ID";"EXAMPLE_SENTENCE_27_ID";"EXAMPLE_SENTENCE_28_ID";"EXAMPLE_SENTENCE_29_ID";"EXAMPLE_SENTENCE_30_ID"
"00094";"00081A";"①認める、認知する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00095";"00081B";"②表彰する、評価する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00096";"00082A";"後悔する、悔やむ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00097";"00083A";"攻撃、襲撃";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00098";"00084A";"攻撃する、攻める、襲う";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00099";"00085A";"不安、心配、恐れ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00100";"00086A";"関係がある、関する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00101";"00087A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00102";"00088A";"①告発、告訴";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00103";"00088B";"②非難";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00104";"00089A";"①告発する、告訴する、訴える";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00105";"00089B";"②とがめる";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00106";"00090A";"着く、到着する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00107";"00091A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00108";"00092A";"動機、機会、きっかけ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00109";"00093A";"①素質、才能";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00110";"00093B";"②設備、装置";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00111";"00094A";"①（警察などに）届け出る、報告する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00112";"00094B";"②（映画などを）評価する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00113";"00095A";"①（警察などへの）届け出、報告";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00114";"00095B";"②（映画などの）評価、レビュー";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00115";"00096A";"①ほかの、別の";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00116";"00096B";"②第二";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00117";"00097A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00118";"00098A";"別な方法で、別の、違った";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00119";"00099A";"annenの中性形";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00120";"00100A";"広告";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00121";"00101A";"広告する、宣伝する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00122";"00102A";"アノラック";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00123";"00103A";"ansetteのperfektum形";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00124";"00104A";"（～と）みなす、考える";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00125";"00105A";"雇う";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00126";"00106A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00127";"00107A";"顔";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00128";"00108A";"見積もる、推定する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00129";"00109A";"責任";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00130";"00110A";"責任者の、責任のある";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00131";"00111A";"①仮定する、想像する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00132";"00111B";"②受け入れる、採用する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00133";"00112A";"承認できる、満足な";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00134";"00113A";"おそらく、たぶん";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00135";"00114A";"数、総数";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00136";"00115A";"洋服";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00137";"00116A";"ほのめかす、ヒントを与える、暗示する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00138";"00117A";"猿（apekattとも言う）";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00139";"00118A";"薬局";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00140";"00119A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00141";"00120A";"オレンジ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00142";"00121A";"４月";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00143";"00122A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00144";"00123A";"労働、仕事、作品";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00145";"00124A";"仕事する、働く、務める";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00146";"00125A";"①労働者";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00147";"00125B";"②働きバチ・アリ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00148";"00126A";"ノルウェーの労働党";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00149";"00127A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00150";"00128A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00151";"00129A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00152";"00130A";"雇い主";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00153";"00131A";"失業中の";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00154";"00132A";"失業中の";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00155";"00133A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00156";"00134A";"職場";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00157";"00135A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00158";"00136A";"勤務時間";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00159";"00137A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00160";"00138A";"用紙、白紙";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00161";"00139A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00162";"00140A";"①記録保管所";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00163";"00140B";"②アーカイブ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00164";"00141A";"①腕";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00165";"00141B";"②（タコなどの）足";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00166";"00142A";"①主催すること";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00167";"00142B";"②行事、催し、イベント";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00168";"00143A";"①配置する、整理する、準備する、手配する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00169";"00143B";"②（イベントなどを）主催する、企画する、実行する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00170";"00143C";"③編曲する、アレンジする";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00171";"00144A";"逮捕する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00172";"00145A";"①面白い、楽しい";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00173";"00145B";"②おかしい、珍しい";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00174";"00146A";"①記事";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00175";"00146B";"②(条約・契約などの)個条、条項、条款";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00176";"00146C";"③物品、品物、品目";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00177";"00146D";"④冠詞 (en、ei、et)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00178";"00147A";"相続する、受け継ぐ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00179";"00148A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00180";"00149A";"亡命";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00181";"00150A";"～する（ある）こと、～ということ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00182";"00151A";"たくさんの、多数の";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00183";"00152A";"著しく、ずっと";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00184";"00153A";"１８";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00185";"00154A";"第１８";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00186";"00155A";"再び、新たに";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00187";"00156A";"オペア";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00188";"00157A";"８月";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00189";"00158A";"オーストラリア (Australia)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00190";"00159A";"自動販売機";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00191";"00160A";"①自動の";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00192";"00160B";"②無意識に、必然的に";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00193";"00161A";"①から（離れて）";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00194";"00161B";"②からなる、による、のために";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00195";"00161C";"③～で出来ている（素材など）";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00196";"00162A";"離れて、とれて、はずれて";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00197";"00163A";"時々";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00198";"00164A";"分割払い、月賦";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00199";"00165A";"断つ、打ち切る、中断する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00200";"00166A";"①区分、仕切り、部門、分課";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00201";"00166B";"②部隊";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00202";"00167A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00203";"00168A";"広告を出す、告知する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00204";"00169A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00205";"00170A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00206";"00171A";"料金、～税";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00207";"00172A";"定める、決定する、解決する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00208";"00173A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00209";"00174A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00210";"00175A";"依存している、従属の、頼っている";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00211";"00176A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00212";"00177A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00213";"00178A";"新聞";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00214";"00179A";"冷やす、冷ます";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00215";"00180A";"（税・労力・荷などを）軽くする、軽減する、やわらげる";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00216";"00181A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00217";"00182A";"①（動物などを）安楽死させる、殺す";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00218";"00182B";"②（噂・嘘などを）終わらせる";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00219";"00183A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00220";"00184A";"忌み嫌う、嫌悪感を覚える";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00221";"00185A";"嫌悪感、忌み嫌うこと";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00222";"00186A";"①割引";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00223";"00186B";"②（申請などの）拒否";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00224";"00187A";"終了させる、終える";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00225";"00188A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00226";"00189A";"段落、一節";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00227";"00190A";"超過勤務した時間を別日に休みとしてとる";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00228";"00191A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00229";"00192A";"距離";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00230";"00193A";"約束する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00231";"00194A";"約束";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00232";"00195A";"①廃止する、終わらせる、（会社などを）畳む";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00233";"00195B";"②行う";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00234";"00196A";"①否定する、却下する、拒絶反応を起こす";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00235";"00196B";"②（人の）出入りを断る";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00236";"00196C";"③論駁する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00237";"00197A";"（武器を）奪い取る
〈敵側の〉武装を解除する 　";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00238";"00198A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00239";"00199A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00240";"00200A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00241";"00201A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00242";"00202A";"入浴、浴室";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00243";"00203A";"入浴する、泳ぐ、水遊びする";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00244";"00204A";"浴槽";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00245";"00205A";"バドミントン";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00246";"00206A";"手荷物、旅行荷物";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00247";"00207A";"～のうしろ・裏に";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00248";"00208A";"（特にパン・ケーキなど）を焼く";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00249";"00209A";"製パン所、パン屋";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00250";"00210A";"背景、背後（関係）";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00251";"00211A";"丘、坂、丘陵";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00252";"00212A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00253";"00213A";"バルコニー";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00254";"00214A";"ボール、玉形のもの";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00255";"00215A";"ダンスパーティー";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00256";"00216A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00257";"00217A";"バナナ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00258";"00218A";"バンド";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00259";"00219A";"①車道、車線、路線";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00260";"00219B";"②スポーツ場";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00261";"00219C";"③軌道";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00262";"00220A";"切り開く、片付ける";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00263";"00221A";"①銀行";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00264";"00221B";"②打つ音、ノック ②貯蔵所";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00265";"00221C";"③おさうち";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
